Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Month,Duration,Campaign,P-days,Previous,P-outcome,Y
30,Unemployed,Married,Primary,No,1787,No,No,Cellular,19,October,79,1,-1,0,N/A,No
33,Services,Married,Secondary,No,4789,Yes,Yes,Cellular,11,May,220,1,339,4,Failure,No
35,Management,Single,Tertiary,No,1350,Yes,No,Cellular,16,April,185,1,330,1,Failure,No
30,Management,Married,Tertiary,No,1476,Yes,Yes,N/A,3,June,199,4,-1,0,N/A,No
59,Blue-collar,Married,Secondary,No,0,Yes,No,N/A,5,May,226,1,-1,0,N/A,No
35,Management,Single,Tertiary,No,747,No,No,Cellular,23,February,141,2,176,3,Failure,No
36,Self-employed,Married,Tertiary,No,307,Yes,No,Cellular,14,May,341,1,330,2,other,No
39,Technician,Married,Secondary,No,147,Yes,No,Cellular,6,May,151,2,-1,0,N/A,No
41,Entrepreneur,Married,Tertiary,No,221,Yes,No,N/A,14,May,57,2,-1,0,N/A,No
43,Services,Married,Primary,No,-88,Yes,Yes,Cellular,17,April,313,1,147,2,Failure,No
39,Services,Married,Secondary,No,9374,Yes,No,N/A,20,May,273,1,-1,0,N/A,No
43,Admin.,Married,Secondary,No,264,Yes,No,Cellular,17,April,113,2,-1,0,N/A,No
36,Technician,Married,Tertiary,No,1109,No,No,Cellular,13,August,328,2,-1,0,N/A,No
20,Student,Single,Secondary,No,502,No,No,Cellular,30,April,261,1,-1,0,N/A,Yes
31,Blue-collar,Married,Secondary,No,360,Yes,Yes,Cellular,29,January,89,1,241,1,Failure,No
40,Management,Married,Tertiary,No,194,No,Yes,Cellular,29,August,189,2,-1,0,N/A,No
56,Technician,Married,Secondary,No,4073,No,No,Cellular,27,August,239,5,-1,0,N/A,No
37,Admin.,Single,Tertiary,No,2317,Yes,No,Cellular,20,April,114,1,152,2,Failure,No
25,Blue-collar,Single,Primary,No,-221,Yes,No,N/A,23,May,250,1,-1,0,N/A,No
31,Services,Married,Secondary,No,132,No,No,Cellular,7,July,148,1,152,1,other,No
38,Management,Divorced,N/A,No,0,Yes,No,Cellular,18,November,96,2,-1,0,N/A,No
42,Management,Divorced,Tertiary,No,16,No,No,Cellular,19,November,140,3,-1,0,N/A,No
44,Services,Single,Secondary,No,106,No,No,N/A,12,June,109,2,-1,0,N/A,No
44,Entrepreneur,Married,Secondary,No,93,No,No,Cellular,7,July,125,2,-1,0,N/A,No
26,Housemaid,Married,Tertiary,No,543,No,No,Cellular,30,January,169,3,-1,0,N/A,No
41,Management,Married,Tertiary,No,5883,No,No,Cellular,20,November,182,2,-1,0,N/A,No
55,Blue-collar,Married,Primary,No,627,Yes,No,N/A,5,May,247,1,-1,0,N/A,No
67,Retired,Married,N/A,No,696,No,No,Telephone,17,August,119,1,105,2,Failure,No
56,Self-employed,Married,Secondary,No,784,No,Yes,Cellular,30,July,149,2,-1,0,N/A,No
53,Admin.,Married,Secondary,No,105,No,Yes,Cellular,21,August,74,2,-1,0,N/A,No
68,Retired,Divorced,Secondary,No,4189,No,No,Telephone,14,July,897,2,-1,0,N/A,Yes
31,Technician,Married,Secondary,No,171,No,No,Cellular,27,August,81,3,-1,0,N/A,No
59,Management,Married,Secondary,No,42,No,No,Cellular,21,November,40,1,-1,0,N/A,No
32,Management,Single,Tertiary,No,2536,Yes,No,Cellular,26,August,958,6,-1,0,N/A,Yes
49,Technician,Married,Tertiary,No,1235,No,No,Cellular,13,August,354,3,-1,0,N/A,Yes
42,Admin.,Divorced,Secondary,No,1811,Yes,No,N/A,14,May,150,1,-1,0,N/A,No
78,Retired,Divorced,Primary,No,229,No,No,Telephone,22,October,97,1,-1,0,N/A,Yes
32,Blue-collar,Married,Secondary,No,2089,Yes,No,Cellular,14,November,132,1,-1,0,N/A,Yes
33,Management,Married,Secondary,No,3935,Yes,No,Cellular,6,May,765,1,342,2,Failure,Yes
23,Services,Single,Tertiary,No,363,Yes,No,N/A,30,May,16,18,-1,0,N/A,No
38,Management,Single,Tertiary,No,11971,Yes,No,N/A,17,November,609,2,101,3,Failure,No
36,Management,Single,Tertiary,No,553,No,No,Cellular,11,August,106,2,-1,0,N/A,No
52,Blue-collar,Married,Secondary,No,1117,Yes,No,Cellular,13,May,365,1,-1,0,N/A,No
32,Technician,Married,Tertiary,No,396,Yes,No,Cellular,13,May,205,3,-1,0,N/A,No
32,Technician,Single,Tertiary,No,2204,Yes,No,Cellular,21,November,11,4,-1,0,N/A,No
